ENSG;ProtID;Symbol;
ENSG00000136270;Q969Z0;TBRG4;
ENSG00000023191;P13489;RNH1;
ENSG00000120800;O75691;UTP20;
ENSG00000196419;P12956;XRCC6;
ENSG00000170448;Q6ZNB6;NFXL1;
ENSG00000009307;G5E9Q2;CSDE1;
ENSG00000162613;B4DT31;FUBP1;
ENSG00000119314;O95758;PTBP3;
ENSG00000011304;P26599;PTBP1;
ENSG00000158710;P37802;TAGLN2;
ENSG00000157110;B4E3T4;RBPMS;
ENSG00000112739;Q13523;PRPF4B;
ENSG00000100941;Q9H307;PNN;
ENSG00000133226;Q8IYB3;SRRM1;
ENSG00000136897;Q8N5N7;MRPL50;
ENSG00000206053;B4DLH4;HN1L;
ENSG00000086504;Q13084;MRPL28;
ENSG00000100029;O00541;PES1;
ENSG00000100201;Q92841;DDX17;
ENSG00000055483;Q9P275;USP36;
ENSG00000116221;Q9BZE1;MRPL37;
ENSG00000115368;Q8IWA0;WDR75;
ENSG00000148498;Q8TEW0;PARD3;
ENSG00000117395;H7C2Q8;EBNA1BP2;
ENSG00000130811;O75821;EIF3G;
ENSG00000130811;O75821;EIF3G;
ENSG00000104131;O75822;EIF3J;
ENSG00000155363;Q9HCE1;MOV10;
ENSG00000087884;K4DI89;AAMDC;
ENSG00000026025;P08670;VIM;
ENSG00000204469;P48634;PRRC2A;
ENSG00000156976;Q14240;EIF4A2;
ENSG00000125844;Q9P2E9;RRBP1;
ENSG00000035403;P18206;VCL;
ENSG00000099783;P52272;HNRNPM;
ENSG00000204842;Q99700;ATXN2;
ENSG00000125901;Q9BYN8;MRPS26;
ENSG00000178105;Q13206;DDX10;
ENSG00000122299;Q8IWR0;ZC3H7A;
ENSG00000137776;Q9NWH9;SLTM;
ENSG00000100380;P50502;ST13;
ENSG00000197451;Q99729;HNRNPAB;
ENSG00000135097;O43347;MSI1;
ENSG00000120948;Q13148;TARDBP;
ENSG00000197157;Q7KZF4;SND1;
ENSG00000159433;Q9P2P6;STARD9;
ENSG00000147140;Q15233;NONO;
ENSG00000077809;P78347;GTF2I;
ENSG00000116560;P23246;SFPQ;
ENSG00000147140;Q15233;NONO;
ENSG00000121390;Q8WXF1;PSPC1;
ENSG00000121390;Q8WXF1;PSPC1;
ENSG00000164934;Q9NV06;DCAF13;
ENSG00000170515;Q9UQ80;PA2G4;
ENSG00000142864;Q8NC51;SERBP1;
ENSG00000198034;P62701;RPS4X;
ENSG00000142634;Q96C19;EFHD2;
ENSG00000148843;Q14690;PDCD11;
ENSG00000163714;O15042;U2SURP;
ENSG00000135829;Q08211;DHX9;
ENSG00000099783;P52272;HNRNPM;
ENSG00000055917;Q8TB72;PUM2;
ENSG00000134644;Q5T1Z8;PUM1;
ENSG00000146676;Q96QR8;PURB;
ENSG00000185129;Q00577;PURA;
ENSG00000141076;Q969X6;CIRH1A;
ENSG00000113742;Q17RY0;CPEB4;
ENSG00000153201;P49792;RANBP2;
ENSG00000011007;Q14241;TCEB3;
ENSG00000071626;Q96EP5;DAZAP1;
ENSG00000153187;Q00839;HNRNPU;
ENSG00000135372;Q9H0A0;NAT10;
ENSG00000031698;P49591;SARS;
ENSG00000155363;Q9HCE1;MOV10;
ENSG00000005007;Q92900;UPF1;
ENSG00000099783;P52272;HNRNPM;
ENSG00000177885;P62993;GRB2;
ENSG00000150459;O00422;SAP18;
ENSG00000161011;Q13501;SQSTM1;
ENSG00000107951;Q9NVV4;MTPAP;
ENSG00000198498;Q96EY4;TMA16;
ENSG00000005007;Q92900;UPF1;
ENSG00000109606;O43143;DHX15;
ENSG00000168028;P08865;RPSA;
ENSG00000149273;P23396;RPS3;
ENSG00000149273;P23396;RPS3;
ENSG00000182180;Q9Y3D3;MRPS16;
ENSG00000168906;P31153;MAT2A;
ENSG00000105939;Q7Z2W4;ZC3HAV1;
ENSG00000112578;Q13895;BYSL;
ENSG00000148843;Q14690;PDCD11;
ENSG00000159763;P12273;PIP;
ENSG00000121774;Q07666;KHDRBS1;
ENSG00000065978;P67809;YBX1;
ENSG00000011007;Q14241;TCEB3;
ENSG00000122965;Q9Y4C8;RBM19;
ENSG00000141551;P48730;CSNK1D;
ENSG00000117519;Q15417;CNN3;
ENSG00000176102;Q12996;CSTF3;
ENSG00000138095;P42704;LRPPRC;
ENSG00000126945;P55795;HNRNPH2;
ENSG00000106344;Q9NW13;RBM28;
ENSG00000182944;Q01844;EWSR1;
ENSG00000009307;G5E9Q2;CSDE1;
ENSG00000182004;P62304;SNRPE;
ENSG00000147649;Q86UE4;MTDH;
ENSG00000125743;P62316;SNRPD2;
ENSG00000177733;Q13151;HNRNPA0;
ENSG00000124942;Q09666;AHNAK;
ENSG00000124942;Q09666;AHNAK;
ENSG00000197157;Q7KZF4;SND1;
ENSG00000065183;Q9UNX4;WDR3;
ENSG00000113282;Q14677;CLINT1;
ENSG00000142864;Q8NC51;SERBP1;
