gene_name;protein_id
IMPDH2;E7ETK5|H0Y4R1|P12268
A0A0B4J203|FIP1L1;A0A0B4J203|Q6UN15|Q6UN15-3|Q6UN15-4|Q6UN15-5
EDF1;O60869|O60869-2|O60869-3
RPS23;P62266
EPRS;P07814|V9GYZ6
U2SURP;E7ET15|O15042|O15042-2
ATP5A1;P25705|P25705-2
HSPD1;P10809
ANXA2;P07355|P07355-2
RPL28;P46779
MRPL13;E5RJI7|Q9BYD1
HIST1H2BM;Q99879
PPRC1;E7EVG6|Q5VV67|Q5VV67-2
HSP90B1;P14625
PLA2G1B;F8W062|P04054
TCEA1;E5RIS7|E5RJ93|P23193
RBBP6;Q7Z6E9|Q7Z6E9-2
S100A8;P05109
RPL17;A0A087WXM6|A0A0A6YYL6|J3KRX5|J3QQT2|P18621|P18621-3
SERPINB4|SERPINB3;H0Y5H9|P29508|P48594|Q5K684
TUBA1B;P68363
RPS19;P39019
RPL35;P42766
RPL19;J3KTE4|J3QR09|P84098
KPRP;Q5T749
ARCN1;B0YIW6|P48444
HSPA5;P11021
CKAP4;Q07065
XP32;Q5T750
JUP;P14923
MEX3A;A1L020
DSP;P15924
RPL36A;H0Y5B4|H7BZ11|J3KQN4|P83881
HIST1H1B;P16401
RPL23A;P62750
RPL36;Q9Y3U8
RPL24;C9JNW5|P83731
SRP72;O76094|O76094-2
FAU;E9PR30|P62861
EIF5B;A0A087WUT6|O60841
NGDN;H0YJ17|Q8NEJ9|Q8NEJ9-2
MANF;A8K878|P55145
H1FX;Q92522
RPS6;P62753
HIST1H1C;P16403
H1F0;P07305|P07305-2
HMGB1;P09429
HMGB2;P26583
HIST1H1E;P10412
SERPIND1;P05546
